Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
master_reference,64,E4,0.0,0.0,0.5,0.6667,88
master_reference,71,B4,0.4844,0.6458,0.3125,0.4167,89
master_reference,69,A4,0.75,1.0,0.4844,0.6458,91
master_reference,71,B4,1.2109,1.6146,0.2969,0.3958,91
master_reference,67,G4,1.4922,1.9896,0.5078,0.6771,82
master_reference,69,A4,1.9609,2.6146,0.2734,0.3646,83
master_reference,66,F#4,2.2344,2.9792,0.6094,0.8125,100
master_reference,66,F#4,2.9609,3.9479,0.5469,0.7292,77
master_reference,67,G4,3.4531,4.6042,0.2734,0.3646,77
master_reference,64,E4,3.7188,4.9583,0.625,0.8333,70
master_reference,64,E4,4.4688,5.9583,0.2344,0.3125,90
master_reference,59,B3,4.7266,6.3021,1.0703,1.4271,65
master_reference,64,E4,4.9531,6.6042,0.7969,1.0625,92
