Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_8,64,E4,0.0156,0.0208,0.2734,0.3646,73
surya_8,59,B3,0.2578,0.3438,0.2031,0.2708,93
surya_8,64,E4,0.4609,0.6146,0.0781,0.1042,111
surya_8,64,E4,0.8672,1.1562,0.5391,0.7188,106
surya_8,71,B4,1.3516,1.8021,0.3281,0.4375,70
surya_8,69,A4,1.6094,2.1458,0.4531,0.6042,107
surya_8,71,B4,2.0312,2.7083,0.3281,0.4375,85
surya_8,67,G4,2.2969,3.0625,0.5391,0.7188,97
surya_8,69,A4,2.7812,3.7083,0.2188,0.2917,100
surya_8,64,E4,7.3516,9.8021,0.2734,0.3646,86
